4.0.0-beta0003 : [6.0.0-beta, 7.0.0)
3.3.1 : [5.0.0, 6.0.0)
3.2.0 : [5.0.0, 6.0.0)
3.1.0 : [5.0.0, 6.0.0)
3.0.0 : [5.0.0, 6.0.0)
2.1.3 : [5.0.0, 6.0.0)
2.1.2 : [5.0.0, 6.0.0)
2.1.1 : [5.0.0, 6.0.0)
2.1.0 : [5.0.0, 6.0.0)
2.0.5 : [5.0.0, 6.0.0)
2.0.4 : [5.0.0, 6.0.0)
2.0.3 : [5.0.0, 6.0.0)
2.0.2 : [5.0.0, 6.0.0)
2.0.1 : [5.0.0, 6.0.0)
2.0.0 : [5.0.0, 6.0.0)
1.1.5 : [4.4.2.0, 5.0.0.0)
1.1.4 : [4.4.2.0, 5.0.0.0)
1.1.3 : [4.4.2.0, 5.0.0.0)
1.1.2 : [4.4.2.0, 5.0.0.0)
1.1.0 : [4.0.0.0, 5.0.0.0)
1.0.9 : [4.0.9, 5.0)
1.0.8 : [4.0.8, 5.0)
1.0.7 : [4.0.7, 5.0)
1.0.6 : [4.0.6, 5.0)
1.0.5 : [4.0.5, 5.0)
1.0.4 : [4.0.4, 5.0)
1.0.3 : [4.0.3, 5.0)
1.0.2 : [4.0.2, 5.0)
1.0.1 : [4.0.1, 5.0)
1.0.0.1 : [4.0.0.1]
