4.0.0-beta0004 : [6.0.0-beta0003, 7.0.0)
3.0.10 : [5.2.8, 6.0.0)
3.0.9 : [5.2.8, 6.0.0)
3.0.8 : [5.2.8, 6.0.0)
3.0.7 : [5.2.8, 6.0.0)
3.0.6 : [5.2.8, 6.0.0)
3.0.5 : [5.2.8, 6.0.0)
3.0.4 : [5.2.8, 6.0.0)
3.0.3 : [5.0.0, 6.0.0)
3.0.2 : [5.0.0, 6.0.0)
3.0.1 : [5.0.0, 6.0.0)
3.0.0 : [5.0.0, 6.0.0)
2.2.8 : [5.2.8, 6.0.0)
2.2.7 : [5.2.8, 6.0.0)
2.2.6 : [5.2.8, 6.0.0)
2.2.5 : [5.2.8, 6.0.0)
2.2.4 : [5.2.8, 6.0.0)
2.2.3 : [5.2.8, 6.0.0)
2.2.2 : [5.2.8, 6.0.0)
2.2.1 : [5.0.0, 6.0.0)
2.2.0 : [5.0.0, 6.0.0)
2.1.2 : [5.0.6, 6.0.0)
2.1.1 : [5.0.0, 6.0.0)
2.1.0 : [5.0.0, 6.0.0)
2.0.3 : [5.0.6, 6.0.0)
2.0.2 : [5.0.0, 6.0.0)
2.0.1 : [5.0.0, 6.0.0)
2.0.0 : [5.0.0, 6.0.0)
1.0.7 : [4.4.8, 5.0.0)
1.0.6 : [4.4.8, 5.0.0)
1.0.5 : [4.4.8, 5.0.0)
1.0.4 : [4.4.8, 5.0.0)
1.0.3 : [4.4.8, 5.0.0)
1.0.2 : [4.4.8, 5.0.0)
1.0.1 : [4.1.0, 5.0.0)
1.0.0 : [4.1.0, 5.0.0)
